Black Hole Candidate,Companion Star,R.A.,dec.,distance [ly],BHMass [MSun],E_BHMass [MSun],Black Hole Circumference [km],Companion Star Mass [MSun],f(M) [MSun],E_f(M) [MSun],Vsin(i) [km/s],E_Vsin(i) [km/s],inclination [deg],E_inclination [deg],Q_min,Q_max,Orbital Period [hrs],Semimajor axis [km],Companion star V magnitude,Optical Spectrum,X-Ray Emission
1E 1740.7-2942,,17h44m03s,-29°43'25'',30000,,,,,,,,,,,,,304.8,<20000000,,,
2S 2318+62,,23h18m,+62°,,,,,,,,,,,,,,,,,,Transient
3U 004322+,,00h44m50.4s,+33°01'17'',,,,,,,,,,,,,,278,<20000000,G,,
4U 1543-47,IL Lup,15h47m08.6s,-47°40'09'',13000,9.4,1.0,170,2.7,0.25,0.01,46,2,20.7,1.5,3.2,4.0,26.7938,7200000,17,A2 V,Transient
4U 1630-47,Nor X-1,16h34m01.61s,-47°23'32'',33000,,,,,,,,,,,,,,,,,
4U 1755-338,V4134 Sgr,17h58m40.0s,-33°48'27'',,,,		,,,,,,,,,,4.4,<1400000,18.8,,
4U 1918+146,,19h20m17s,+14°42'19'',,,,,,,,,,,,,,,,,,Transient
4U 1957+115,V1408 Aql,19h59m24.0s,+11°42'30'',,,,,,,,,,,,,,9.3,<2000000,18.7,+,Persistent
A 0620-00,Nova Mon 1975,06h22m44.5s,-00°20'45'',2700,10.8,2.1,200,0.6,2.72,0.06,83,5,40.8,3.0,13.3,18.3,7.7524,3100000,18,K4 V,Transient
A1524-617,KZ TrA,16h32m16.8s,-67°27'43'',,,,,,,,,,,,,,,,18.5,,
Cygnus X-1,HDE 226868,19h58m21.7s,+35°12'06'',7000,16,5,300,31,0.244,0.005,94,5,35,5,0.50,0.57,134.396,33000000,8.9,09.7 Iab,Persistent
EXO 1846-031,,18h49m17.1s,-03°03'43.7'',,,,					,,,,,,,,,,,,,,
EXS 1737.9-2952,,17h41m06s,-29°53',30000,,,			,,,,,,,,,,,,,,
GRO J0422+32,Nova Per 1992,04h21m46.9s,+32°54'36'',6500,4.3,0.7,80,0.45,1.19,0.02,90,27,44,2,3.2,13.2,5.0918,1800000,22,M2 V,Transient
GRO J1655-40,Nova Sco 1994,16h54m00.2s,-39°50'45'',10000,6.3,0.3,120,2.4,2.73,0.09,93,3,70.2,1.2,2.4,2.7,62.926,11000000,14.4,F4IV,Transient
GRS 1009-45,Nova Vela 1993,10h13m36.3s,-45°04'32'',10000,4.2,0.6,80,0.6?,3.17,0.12,,,67,,6.3,8.0,6.8449,2100000,,K8 V,Transient
GRS 1124-683,Nova Muscae 1991,11h26m26.7s,-68°40'33'',3000,7.3,0.9,140,1.0,,,,,,,,,10.3825,3400000,20,K5 V,
GRS 1659-487,GX 339-4,17h02m49.4s,-48°47'2'',13000,5.8,0.5,110,,,,,,,,,,14.8,3800000,,F8-G2 III,
GRS 1716-249,V2293 Oph,17h19m36.9s,-25°01'03'',7500,>4.9,,>90,,,,,,,,,,,,,M0-5 V,
GRS 1737-31,,17h40m09s,-31°02'24'',,,,					,,,,,,,,,,,,,,
GRS 1739-278,,17h42m00.03s,-27°44'52.7'',32000,,,			,,,,,,,,,,,,23.2,>F5 V,
GRS 1758-258,,18h01m12.3s,-25°44'36'',26000,,,	,,,,,,,,,,442.8,<30000000,,K,
GRS 1915+105,XN Aql 1992,19h15m11.6s,+10°56'45'',39000,14,4,260,1.5,9.5,3.0,,,70,2,,,820,77000000,,K-M III,Recurring Transient
GS 1124-683,,,,,6.84,0.37,,,3.01,0.15,106,13,54,2,4.8,8.8,10.382544,,,,Transient
GS 1354-645,BW Cir,13h58m09.92s,-64°44'04.9'',,,,,,,,,,,,,,,,16.9,,
GS 2000+251,Nova Vul 1988,20h02m49.6s,+25°14'11'',6500,7.5,0.3,140,0.3,5.01,0.12,86,8,64.0,1.3,18.9,28.9,8.2582,2900000,21,K5 V,Transient
GS 2023+338,V404 Cygni,20h24m03.8s,+33°52'04'',8000,11.7,1.7,220,0.6,6.08,0.06,38.8,1.1,56,4,16.1,18.9,155.31,23000000,12.7,K0 IV,Recurring Transient
H 1705-250,Nova Oph 1977,17h08m14.2s,-25°05'32'',33000,7.0,1.3,130,0.3?,4.86,0.13,79,,60,,18.9,,12.5,3700000,21,K5 V,Transient
H 1741-322,,17h41m,-32°,,,,,,,,,,,,,,,,,,
H 1743-32,,17h45m02s,-32°13'36'',,,,					,,,,,,,,,,,,,,
KS 1730-31,,17h30m,-31°,,,,					,,,,,,,,,,,,,,
LMC X-1,R148,05h39m38.7s,-69°44'36'',180000,7,3,130,35,0.14,0.05,,,63,,0.3,0.7,101.491,27000000,14,O7 III-V,Persistent
LMC X-3,,05h38m56.4s,-64°05'01'',180000,7.6,1.6,140,4.5,2.29,0.32,130,20,67,3,1.1,2.0,40.9150,9600000,16.7,B3 Ve,Persistent
RX J0042.3+4115,,00h42m22.94s,+41°15'34.0'',2500000,,,,,,,,,,,,,,,,,
RX J1749.8-3312,,17h49m50.6s,-31°11'55'',,,,					,,,,,,,,,,,,,,
RX J1826.2-1450,LS 5039,18h26m15.03s,-14°50'53.6'',,,,		,,,,,,,,,,98.81,<10000000,11.23,O6.5 Vf,
SAX J1805.5-246,,18h05m34s,-20°30'48'',,,,					,,,,,,,,,,,,,,
SAX J1819.3-2525,,,,,7.12,0.3,,,3.13,0.13,98.9,1.5,75,2,2.22,2.39,67.6152,,,,Transient
